"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Virolahti Harju","2024","4","5","14:00","9.1"
"Virolahti Harju","2024","4","5","15:00","5.2"
"Virolahti Harju","2024","4","5","16:00","3.8"
"Virolahti Harju","2024","4","5","17:00","3.4"
"Virolahti Harju","2024","4","5","18:00","3.5"
"Virolahti Harju","2024","4","5","19:00","3.8"
"Virolahti Harju","2024","4","5","20:00","4.3"
"Virolahti Harju","2024","4","5","21:00","4.2"
"Virolahti Harju","2024","4","5","22:00","3.7"
"Virolahti Harju","2024","4","5","23:00","3"
"Virolahti Harju","2024","4","6","00:00","2.7"
"Virolahti Harju","2024","4","6","01:00","2.9"
"Virolahti Harju","2024","4","6","02:00","3.8"
"Virolahti Harju","2024","4","6","03:00","5.3"
"Virolahti Harju","2024","4","6","04:00","5.9"
"Virolahti Harju","2024","4","6","05:00","5.3"
"Virolahti Harju","2024","4","6","06:00","2.6"
"Virolahti Harju","2024","4","6","07:00","2.6"
"Virolahti Harju","2024","4","6","08:00","2.3"
"Virolahti Harju","2024","4","6","09:00","2.2"
"Virolahti Harju","2024","4","6","10:00","2.2"
"Virolahti Harju","2024","4","6","11:00","3"
"Virolahti Harju","2024","4","6","12:00","2.8"
"Virolahti Harju","2024","4","6","13:00","2.8"
"Virolahti Harju","2024","4","6","14:00","2.6"
"Virolahti Harju","2024","4","6","15:00","2.7"
"Virolahti Harju","2024","4","6","16:00","2.7"
"Virolahti Harju","2024","4","6","17:00","2.4"
"Virolahti Harju","2024","4","6","18:00","2.9"
"Virolahti Harju","2024","4","6","19:00","2.8"
"Virolahti Harju","2024","4","6","20:00","2.8"
"Virolahti Harju","2024","4","6","21:00","2.6"
"Virolahti Harju","2024","4","6","22:00","2.6"
"Virolahti Harju","2024","4","6","23:00","2.4"
"Virolahti Harju","2024","4","7","00:00","2.7"
"Virolahti Harju","2024","4","7","01:00","2.3"
"Virolahti Harju","2024","4","7","02:00","2.6"
"Virolahti Harju","2024","4","7","03:00","3.1"
"Virolahti Harju","2024","4","7","04:00","3.1"
"Virolahti Harju","2024","4","7","05:00","3.3"
"Virolahti Harju","2024","4","7","06:00","3.5"
"Virolahti Harju","2024","4","7","07:00","4.1"
"Virolahti Harju","2024","4","7","08:00","3.7"
"Virolahti Harju","2024","4","7","09:00","7.7"
"Virolahti Harju","2024","4","7","10:00","9.7"
