"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Kaarina Kaarina","2024","3","21","11:00","0"
"Kaarina Kaarina","2024","3","21","12:00","0"
"Kaarina Kaarina","2024","3","21","13:00","0"
"Kaarina Kaarina","2024","3","21","14:00","0"
"Kaarina Kaarina","2024","3","21","15:00","0"
"Kaarina Kaarina","2024","3","21","16:00","0"
"Kaarina Kaarina","2024","3","21","17:00","0"
"Kaarina Kaarina","2024","3","21","18:00","0.1"
"Kaarina Kaarina","2024","3","21","19:00","0.9"
"Kaarina Kaarina","2024","3","21","20:00","1.8"
"Kaarina Kaarina","2024","3","21","21:00","4.1"
"Kaarina Kaarina","2024","3","21","22:00","3.9"
"Kaarina Kaarina","2024","3","21","23:00","3.6"
"Kaarina Kaarina","2024","3","22","00:00","2.7"
"Kaarina Kaarina","2024","3","22","01:00","2"
"Kaarina Kaarina","2024","3","22","02:00","2.6"
"Kaarina Kaarina","2024","3","22","03:00","3.7"
"Kaarina Kaarina","2024","3","22","04:00","-"
"Kaarina Kaarina","2024","3","22","05:00","3.4"
"Kaarina Kaarina","2024","3","22","06:00","2.6"
"Kaarina Kaarina","2024","3","22","07:00","2.6"
"Kaarina Kaarina","2024","3","22","08:00","2"
"Kaarina Kaarina","2024","3","22","09:00","2.9"
"Kaarina Kaarina","2024","3","22","10:00","6.5"
"Kaarina Kaarina","2024","3","22","11:00","5.2"
"Kaarina Kaarina","2024","3","22","12:00","4.6"
"Kaarina Kaarina","2024","3","22","13:00","3.5"
"Kaarina Kaarina","2024","3","22","14:00","3.5"
"Kaarina Kaarina","2024","3","22","15:00","-"
"Kaarina Kaarina","2024","3","22","16:00","-"
"Kaarina Kaarina","2024","3","22","17:00","4.7"
"Kaarina Kaarina","2024","3","22","18:00","3.9"
"Kaarina Kaarina","2024","3","22","19:00","-"
"Kaarina Kaarina","2024","3","22","20:00","2.4"
"Kaarina Kaarina","2024","3","22","21:00","-"
"Kaarina Kaarina","2024","3","22","22:00","2.6"
"Kaarina Kaarina","2024","3","22","23:00","2.1"
"Kaarina Kaarina","2024","3","23","00:00","3.7"
"Kaarina Kaarina","2024","3","23","01:00","2.9"
"Kaarina Kaarina","2024","3","23","02:00","2.9"
"Kaarina Kaarina","2024","3","23","03:00","-"
"Kaarina Kaarina","2024","3","23","04:00","-"
"Kaarina Kaarina","2024","3","23","05:00","2.4"
"Kaarina Kaarina","2024","3","23","06:00","1.8"
"Kaarina Kaarina","2024","3","23","07:00","1.5"
"Kaarina Kaarina","2024","3","23","08:00","2.2"
"Kaarina Kaarina","2024","3","23","09:00","1.9"
"Kaarina Kaarina","2024","3","23","10:00","1.9"
"Kaarina Kaarina","2024","3","23","11:00","2.3"
"Kaarina Kaarina","2024","3","23","12:00","2.2"
"Kaarina Kaarina","2024","3","23","13:00","1.8"
"Kaarina Kaarina","2024","3","23","14:00","2"
"Kaarina Kaarina","2024","3","23","15:00","1.5"
"Kaarina Kaarina","2024","3","23","16:00","2.3"
"Kaarina Kaarina","2024","3","23","17:00","2.1"
"Kaarina Kaarina","2024","3","23","18:00","15.4"
"Kaarina Kaarina","2024","3","23","19:00","16.6"
"Kaarina Kaarina","2024","3","23","20:00","51.8"
"Kaarina Kaarina","2024","3","23","21:00","50"
"Kaarina Kaarina","2024","3","23","22:00","50.1"
"Kaarina Kaarina","2024","3","23","23:00","42.4"
"Kaarina Kaarina","2024","3","24","00:00","42.8"
"Kaarina Kaarina","2024","3","24","01:00","39.3"
"Kaarina Kaarina","2024","3","24","02:00","27.9"
"Kaarina Kaarina","2024","3","24","03:00","20.7"
"Kaarina Kaarina","2024","3","24","04:00","15.1"
"Kaarina Kaarina","2024","3","24","05:00","11.1"
"Kaarina Kaarina","2024","3","24","06:00","8.3"
"Kaarina Kaarina","2024","3","24","07:00","6.3"
"Kaarina Kaarina","2024","3","24","08:00","5"
"Kaarina Kaarina","2024","3","24","09:00","4.6"
"Kaarina Kaarina","2024","3","24","10:00","3.7"
"Kaarina Kaarina","2024","3","24","11:00","2.7"
"Kaarina Kaarina","2024","3","24","12:00","5.4"
"Kaarina Kaarina","2024","3","24","13:00","7"
